Gender,Age,Debt,Married,BankCustomer,Industry,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Approved_enc,Gender_Male,Married_Yes,BankCustomer_Yes,Industry_ConsumerDiscretionary,Industry_ConsumerStaples,Industry_Education,Industry_Energy,Industry_Financials,Industry_Healthcare,Industry_Industrials,Industry_InformationTechnology,Industry_Materials,Industry_Real Estate,Industry_Research,Industry_Transport,Industry_Unknown,Industry_Utilities,Industry_communicationservices,Industry_consumerdiscretionary,Industry_consumerstaples,Industry_education,Industry_energy,Industry_financials,Industry_healthcare,Industry_industrials,Industry_informationtechnology,Industry_materials,Industry_real estate,Industry_research,Industry_transport,Industry_utilities,PriorDefault_Yes,Employed_Yes,DriversLicense_Yes,Citizen_ByOtherMeans,Citizen_Temporary,Citizen_Unknown,Citizen_bybirth,Citizen_byothermeans,Citizen_temporary
Male,51.38,19.17,No,Yes,Education,No,No,20.0,Yes,ByBirth,4592,94914.0,Rejected,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Male,53.75,14.68,Yes,No,Utilities,Yes,No,34.0,No,ByBirth,70675,95547.0,Rejected,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Male,42.01,12.86,Yes,No,Education,Yes,Yes,29.0,Yes,ByBirth,41643,26522.0,Approved,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,47.61,2.75,No,Yes,Research,Yes,No,65.0,Yes,ByBirth,18756,9209.0,Approved,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,78.95,17.2,Yes,No,Energy,Yes,Yes,6.0,No,ByBirth,94577,80086.0,Approved,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,39.44,26.89,No,Yes,Research,No,Yes,66.0,Yes,ByBirth,69113,3899.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,15.13,19.79,Yes,No,Research,Yes,Yes,5.0,Yes,ByOtherMeans,68248,4823.0,Rejected,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Male,47.61,6.83,No,Yes,Utilities,No,No,24.0,Yes,Temporary,55155,56206.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Male,53.59,2.25,Yes,Yes,Education,No,Yes,59.0,Yes,ByBirth,80492,60310.0,Approved,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,19.72,2.13,Yes,No,Transport,Yes,No,55.0,Yes,bybirth,40250,65021.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Male,73.04,11.03,No,Yes,Energy,Yes,Yes,46.0,Yes,ByBirth,13247,61138.0,Approved,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,77.35,24.71,No,Yes,Transport,No,No,20.0,Yes,ByBirth,34742,6677.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Male,47.61,8.1,Yes,No,Energy,Yes,No,8.0,No,ByBirth,2660,56971.0,Rejected,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Male,17.96,19.6,Yes,No,Energy,Yes,Yes,10.0,No,ByBirth,24479,49471.0,Rejected,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,19.56,12.77,No,No,Industrials,Yes,Yes,3.0,Yes,Unknown,64110,49471.0,Rejected,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Male,53.26,10.35,No,Yes,Transport,Yes,Yes,46.0,Yes,ByBirth,88545,85811.0,Approved,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,32.95,23.29,Yes,No,Financials,No,No,55.0,No,byothermeans,48316,10649.0,Rejected,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Female,15.27,16.5,Yes,Yes,Unknown,Yes,Yes,31.0,Yes,ByBirth,78045,53351.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,19.74,12.5,No,Yes,Unknown,No,No,33.0,Yes,Unknown,76436,34030.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Male,24.32,21.15,Yes,Yes,Healthcare,Yes,Yes,33.0,Yes,Temporary,78978,91636.0,Approved,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Female,43.03,4.46,No,Yes,Research,No,Yes,29.0,Yes,ByBirth,13648,69062.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,24.24,12.17,Yes,No,Utilities,Yes,Yes,62.0,Yes,ByBirth,62901,35206.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,64.71,10.63,No,Yes,ConsumerStaples,Yes,Yes,33.0,Yes,ByBirth,83022,67928.0,Approved,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,22.3,23.92,Yes,Yes,Research,Yes,Yes,20.0,Yes,ByBirth,82423,43187.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,21.62,11.26,No,Yes,utilities,Yes,Yes,8.0,No,Temporary,34055,95497.0,Approved,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Male,19.37,0.42,Yes,No,ConsumerDiscretionary,Yes,Yes,65.0,No,ByBirth,79433,80663.0,Approved,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,74.62,18.67,Yes,Yes,Materials,No,No,47.0,No,ByOtherMeans,9587,89140.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Female,28.26,5.93,Yes,Yes,Unknown,No,Yes,6.0,Yes,ByBirth,91435,48041.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,47.61,26.17,Yes,No,Education,Yes,Yes,33.0,Yes,ByBirth,25664,58872.0,Approved,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,52.96,5.53,No,Yes,Education,No,Yes,52.0,Yes,ByBirth,26564,54391.0,Approved,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,55.72,15.26,Yes,Yes,Materials,No,Yes,63.0,Yes,ByBirth,16596,67068.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,75.01,14.55,Yes,No,Education,Yes,No,53.0,Yes,ByBirth,62472,9312.0,Rejected,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,34.79,27.9,No,Yes,ConsumerDiscretionary,No,Yes,41.0,No,ByBirth,68099,27654.0,Rejected,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,62.71,5.9,Yes,No,healthcare,No,Yes,33.0,Yes,ByBirth,93296,60993.0,Rejected,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,14.98,10.62,No,Yes,InformationTechnology,Yes,Yes,33.0,Yes,ByBirth,13215,40772.0,Approved,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,32.34,20.53,Yes,No,Financials,No,Yes,53.0,No,ByBirth,35152,28942.0,Rejected,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Female,60.04,9.36,No,Yes,Financials,No,Yes,40.0,Yes,ByOtherMeans,39800,31880.0,Rejected,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Female,44.54,25.32,No,Yes,Utilities,No,Yes,29.0,Yes,Temporary,64268,13921.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Female,47.61,1.7,Yes,Yes,Unknown,No,Yes,52.0,Yes,ByBirth,957,57426.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,31.93,16.15,Yes,Yes,Financials,No,Yes,8.0,Yes,ByBirth,65509,20828.0,Rejected,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,40.9,10.41,No,No,Materials,Yes,Yes,45.0,Yes,ByOtherMeans,38764,79919.0,Approved,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Male,20.84,16.18,Yes,No,Healthcare,No,Yes,25.0,Yes,Temporary,56470,48812.0,Rejected,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Female,23.82,5.98,Yes,Yes,ConsumerStaples,Yes,Yes,21.0,Yes,ByBirth,32571,87090.0,Approved,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,27.28,23.11,Yes,Yes,Healthcare,Yes,Yes,61.0,Yes,ByBirth,5253,37456.0,Approved,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,79.04,19.45,No,Yes,ConsumerStaples,No,Yes,47.0,No,Unknown,87076,11667.0,Rejected,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Male,79.44,4.96,No,Yes,Research,No,No,54.0,Yes,ByBirth,65484,2345.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Female,30.56,1.79,Yes,Yes,CommunicationServices,Yes,Yes,33.0,Yes,ByOtherMeans,74445,60545.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Female,42.4,10.84,Yes,Yes,Materials,No,Yes,61.0,Yes,ByBirth,87878,17214.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,32.4,0.66,No,Yes,Financials,Yes,No,33.0,Yes,ByBirth,14920,62424.0,Approved,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,23.61,17.12,Yes,Yes,ConsumerStaples,Yes,Yes,33.0,No,ByBirth,34890,56295.0,Approved,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,17.2,24.5,No,No,Research,No,Yes,1.0,Yes,ByBirth,65854,96516.0,Rejected,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,69.5,9.87,No,Yes,Unknown,No,Yes,27.0,No,ByOtherMeans,48199,73162.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Male,62.58,14.63,Yes,Yes,Transport,Yes,Yes,57.0,Yes,ByBirth,83145,65659.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,43.42,8.47,Yes,Yes,Utilities,Yes,Yes,58.0,Yes,ByOtherMeans,26562,89329.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Male,44.51,5.07,Yes,Yes,Industrials,No,Yes,17.0,No,ByBirth,52679,49471.0,Rejected,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,74.93,13.85,No,Yes,Industrials,Yes,No,13.0,Yes,ByBirth,69540,55826.0,Rejected,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,39.24,5.64,Yes,Yes,ConsumerStaples,Yes,Yes,18.0,Yes,bybirth,27358,24855.0,Approved,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Female,65.26,25.63,No,No,ConsumerStaples,No,Yes,44.0,No,Temporary,79243,6709.0,Rejected,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Female,120.0,6.76,Yes,Yes,ConsumerStaples,Yes,Yes,59.0,Yes,ByOtherMeans,84460,87947.0,Approved,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Male,31.9,10.32,No,Yes,Real Estate,Yes,Yes,28.0,Yes,Temporary,47767,18805.0,Approved,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Female,37.64,3.18,No,Yes,Research,No,Yes,33.0,Yes,ByBirth,91591,36006.0,Approved,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,49.19,8.71,No,Yes,ConsumerDiscretionary,No,Yes,66.0,Yes,ByOtherMeans,63119,49471.0,Approved,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Female,23.27,-1.0,Yes,No,Utilities,Yes,Yes,33.0,Yes,ByBirth,72992,5915.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,53.65,3.89,No,Yes,Research,Yes,No,38.0,Yes,ByOtherMeans,76380,72384.0,Approved,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Male,20.73,26.45,Yes,Yes,ConsumerStaples,Yes,Yes,20.0,Yes,Temporary,29974,49471.0,Approved,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Female,47.61,8.65,Yes,Yes,Healthcare,No,Yes,65.0,Yes,ByBirth,38697,95633.0,Approved,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,46.53,18.39,No,No,ConsumerDiscretionary,No,Yes,48.0,No,ByBirth,79706,48485.0,Rejected,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Female,17.75,3.62,No,No,Financials,No,No,26.0,Yes,ByBirth,12689,57215.0,Rejected,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Female,49.71,3.39,Yes,Yes,Education,No,No,33.0,Yes,ByOtherMeans,83233,66642.0,Rejected,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Male,68.83,18.89,No,No,ConsumerStaples,No,No,27.0,No,ByBirth,85477,72277.0,Rejected,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,31.32,14.92,Yes,Yes,Energy,Yes,Yes,33.0,No,Temporary,83993,62835.0,Approved,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Male,19.93,16.45,Yes,Yes,ConsumerStaples,Yes,No,22.0,Yes,ByOtherMeans,6383,75602.0,Rejected,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Male,120.0,23.2,No,No,Energy,Yes,Yes,37.0,Yes,bybirth,35169,49471.0,Approved,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Female,28.63,24.35,Yes,Yes,Financials,No,Yes,38.0,Yes,ByOtherMeans,3786,91711.0,Rejected,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Male,47.84,5.83,No,Yes,Education,No,Yes,66.0,Yes,ByBirth,3275,49471.0,Approved,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,24.6,9.2,No,No,Materials,Yes,Yes,51.0,Yes,ByBirth,81927,21433.0,Approved,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,15.36,27.77,Yes,Yes,Materials,No,Yes,33.0,No,ByBirth,58083,73033.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,36.35,11.14,No,Yes,Financials,Yes,Yes,33.0,Yes,ByBirth,941,50204.0,Approved,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,25.04,25.02,Yes,Yes,CommunicationServices,Yes,No,10.0,Yes,bybirth,60720,72339.0,Rejected,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Male,47.65,23.38,No,Yes,Transport,No,Yes,61.0,Yes,ByBirth,3904,57485.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,40.67,11.66,Yes,No,InformationTechnology,Yes,Yes,40.0,Yes,Temporary,88766,38332.0,Approved,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Male,32.18,0.58,No,Yes,ConsumerDiscretionary,Yes,No,11.0,No,Temporary,66558,15566.0,Rejected,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Male,59.62,2.51,No,No,Materials,Yes,Yes,51.0,Yes,ByBirth,9282,49471.0,Approved,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,41.86,9.85,Yes,Yes,Energy,Yes,Yes,56.0,Yes,Temporary,56341,99398.0,Approved,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Male,58.32,9.35,Yes,Yes,Financials,Yes,No,62.0,No,byothermeans,54312,15369.0,Approved,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Male,72.68,7.75,Yes,No,InformationTechnology,Yes,No,58.0,Yes,ByOtherMeans,96729,48982.0,Approved,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Female,27.77,1.15,Yes,No,Financials,Yes,Yes,23.0,Yes,ByBirth,26735,64331.0,Approved,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,68.9,13.73,Yes,Yes,ConsumerStaples,Yes,Yes,63.0,Yes,ByBirth,41738,42401.0,Approved,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,73.38,20.24,Yes,Yes,ConsumerDiscretionary,No,Yes,66.0,Yes,ByOtherMeans,72795,32035.0,Approved,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Male,46.32,14.26,Yes,Yes,Real Estate,Yes,Yes,5.0,Yes,ByBirth,75957,94875.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,65.09,23.19,Yes,Yes,CommunicationServices,No,No,53.0,Yes,Temporary,6589,36876.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Male,18.24,26.59,Yes,No,Industrials,Yes,No,45.0,Yes,ByBirth,35557,46218.0,Rejected,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,21.9,12.32,No,No,Research,Yes,Yes,8.0,Yes,ByBirth,96054,92161.0,Approved,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,25.63,25.45,Yes,Yes,materials,No,Yes,13.0,Yes,Temporary,49624,82990.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
Female,53.56,15.06,Yes,Yes,Financials,Yes,Yes,12.0,Yes,ByBirth,23712,1800.0,Rejected,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,66.81,16.89,Yes,Yes,Education,No,Yes,5.0,Yes,ByBirth,56902,67034.0,Rejected,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,72.6,21.17,Yes,No,ConsumerStaples,No,Yes,41.0,Yes,ByBirth,25359,38138.0,Rejected,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,71.34,0.77,Yes,Yes,Transport,No,Yes,54.0,Yes,ByOtherMeans,5591,71619.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
